,Year,BDMAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,18.51,-2.02,2.92,20.53,15.59,2.0,2.0,1.0
1,YTD,1.45,5.87,0.85,-4.42,0.6,1.89,1.89,44.0
