,Year,FAFFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,10.04,11.48,11.71,-1.43,-1.67,0.33,0.33,90.0
1,2005,7.81,7.04,7.41,0.77,0.4,0.33,3.0,44.0
2,2006,13.78,12.95,14.67,0.83,-0.89,0.26,4.0,64.0
3,2007,9.08,8.63,6.21,0.45,2.87,0.25,7.0,12.0
4,2008,-40.76,-22.19,-37.94,-18.57,-2.82,0.24,9.0,89.0
5,2009,32.98,21.77,30.9,11.21,2.08,0.25,18.0,32.0
6,2010,15.86,12.33,14.37,3.53,1.49,0.25,18.0,16.0
7,2011,-4.68,0.59,-3.49,-5.27,-1.19,0.25,38.0,64.0
8,2012,14.08,12.04,14.64,2.04,-0.56,0.25,14.0,71.0
9,2013,20.27,14.31,19.97,5.96,0.3,0.25,26.0,64.0
10,YTD,6.55,5.81,6.5,0.74,0.05,0.25,47.0,52.0
