,Year,JNUSX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,30.22,30.63,30.02,-0.41,0.2,0.2,0.2,37.0
1,2000,-17.75,-15.31,-6.76,-2.44,-11.0,-11.0,80.0,83.0
2,2001,-21.92,-19.73,-15.98,-2.19,-5.95,-5.95,85.0,82.0
3,2002,-17.35,-14.95,-12.37,-2.41,-4.98,0.95,138.0,82.0
4,2003,40.22,40.83,39.07,-0.61,1.15,0.95,0.95,42.0
5,2004,25.42,20.91,21.99,4.52,3.44,0.95,0.95,18.0
6,2005,20.4,16.62,13.19,3.78,7.21,0.95,76.0,4.0
7,2006,32.53,26.65,25.98,5.88,6.55,0.94,92.0,8.0
8,2007,11.79,16.65,9.01,-4.87,2.77,0.94,92.0,21.0
9,2008,-43.47,-45.53,-42.41,2.06,-1.06,0.92,86.0,59.0
10,2009,29.14,41.45,30.33,-12.31,-1.19,0.95,98.0,51.0
11,2010,9.43,11.15,7.48,-1.72,1.95,0.92,92.0,26.0
12,2011,-13.01,-13.71,-12.77,0.69,-0.25,0.94,60.0,54.0
13,2012,17.73,16.83,16.21,0.9,1.53,0.94,62.0,36.0
14,2013,21.34,15.29,20.81,6.05,0.52,0.94,66.0,53.0
15,YTD,-5.73,-0.27,-2.55,-5.46,-3.18,-3.18,-3.18,90.0
