,Year,JPGSX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,,,,,,1.0,1.0,1.0
1,2004,10.45,10.88,7.81,-0.43,2.64,1.0,1.0,26.0
2,2005,8.79,4.91,6.71,3.88,2.08,1.0,130.0,31.0
3,2006,9.38,15.79,7.05,-6.42,2.32,1.0,73.0,28.0
4,2007,11.16,5.49,13.35,5.66,-2.2,1.0,130.0,63.0
5,2008,-39.23,-37.0,-40.67,-2.23,1.44,1.0,130.0,40.0
6,2009,33.82,26.46,35.68,7.36,-1.86,1.0,121.0,53.0
7,2010,15.87,15.06,15.53,0.8,0.34,1.0,118.0,45.0
8,2011,1.38,2.11,-2.46,-0.73,3.84,0.99,129.0,19.0
9,2012,15.95,16.0,15.34,-0.05,0.61,1.0,110.0,39.0
10,2013,34.3,32.39,33.92,1.91,0.38,0.99,67.0,44.0
11,YTD,18.02,13.98,10.79,4.05,7.23,0.91,67.0,3.0
