,Year,PRWCX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,7.07,13.49,10.71,-6.42,-3.64,0.88,28.0,71.0
1,2000,22.17,1.68,1.82,20.49,20.34,0.87,32.0,1.0
2,2001,10.26,-2.46,-5.05,12.73,15.32,0.86,25.0,2.0
3,2002,0.54,-6.69,-12.02,7.24,12.56,0.85,18.0,2.0
4,2003,25.47,22.48,20.35,2.99,5.12,0.83,0.83,11.0
5,2004,15.29,11.48,8.86,3.81,6.43,0.78,0.78,2.0
6,2005,6.85,7.04,5.13,-0.19,1.72,0.76,12.0,19.0
7,2006,14.54,12.95,11.29,1.59,3.25,0.73,54.0,9.0
8,2007,4.56,8.63,5.99,-4.07,-1.43,0.7,53.0,69.0
9,2008,-27.17,-22.19,-28.0,-4.98,0.84,0.72,94.0,41.0
10,2009,33.05,21.77,24.13,11.28,8.92,0.74,86.0,7.0
11,2010,14.07,12.33,11.83,1.73,2.23,0.7,66.0,13.0
12,2011,3.19,0.59,-0.11,2.6,3.3,0.71,81.0,12.0
13,2012,14.7,12.04,11.72,2.66,2.99,0.71,60.0,8.0
14,2013,22.43,14.31,16.48,8.12,5.95,0.71,57.0,4.0
15,YTD,12.35,5.81,6.95,6.55,5.4,5.4,5.4,1.0
