,Year,QVOPX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,9.27,13.49,13.49,-4.22,-4.22,1.57,47.0,34.0
1,2000,9.75,1.68,1.68,8.08,8.08,1.53,63.0,39.0
2,2001,-4.57,-2.46,-10.3,-2.11,5.73,1.51,42.0,44.0
3,2002,-17.57,-6.69,-22.74,-10.88,5.17,1.52,73.0,41.0
4,2003,21.91,22.48,16.59,-0.57,5.32,1.44,1.44,93.0
5,2004,9.5,11.48,7.38,-1.98,2.12,1.32,1.32,86.0
6,2005,1.84,7.04,1.63,-5.21,0.2,1.28,100.0,92.0
7,2006,11.24,12.95,8.73,-1.72,2.51,1.43,66.0,48.0
8,2007,12.25,8.63,3.49,3.62,8.76,1.37,51.0,5.0
9,2008,-20.28,-22.19,-22.14,1.91,1.86,1.52,135.0,9.0
10,2009,16.22,21.77,14.2,-5.56,2.01,1.43,117.0,93.0
11,2010,7.87,12.33,5.51,-4.46,2.36,1.38,58.0,94.0
12,2011,-6.34,0.59,-2.79,-6.94,-3.55,1.52,181.0,98.0
13,2012,3.9,12.04,3.87,-8.15,0.03,1.78,212.0,97.0
14,2013,8.99,14.31,4.16,-5.31,4.83,1.97,76.0,95.0
15,YTD,4.77,5.81,2.17,-1.04,2.6,2.6,2.6,19.0
